alt,callsign,dest_iata,dest_icao,eta,flight,fr24_id,gspeed,hex,lat,lon,operating_as,orig_iata,orig_icao,painted_as,reg,source,squawk,timestamp,track,type,vspeed,target_type_secondary
0,SIL75,MCO,KMCO,,3M75,26ed7a8c,17,A4C846,24.55523,-81.76344,SIL,EYW,KEYW,SIL,N407SV,ADSB,0,2021-02-26T15:17:32Z,267,AT46,0,Avions de Transport Regional ATR 42 600
0,,,,,,26ed7ad1,0,,24.55447,-81.75745,,,,,,ADSB,0,2021-02-26T15:17:32Z,249,E55P,0,
700,N7336J,,,,,26ed7111,123,A9D963,24.53481,-81.84921,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:17:40Z,272,P28A,320,PIPER PA-28-140/150/160/180
0,SIL75,MCO,KMCO,,3M75,26ed7a8c,16,A4C846,24.55522,-81.76418,SIL,EYW,KEYW,SIL,N407SV,ADSB,5744,2021-02-26T15:17:40Z,270,AT46,0,Avions de Transport Regional ATR 42 600
0,,,,,,26ed7ad1,0,,24.55447,-81.75745,,,,,,ADSB,0,2021-02-26T15:17:39Z,89,E55P,0,
600,N7336J,,,,,26ed7111,125,A9D963,24.53517,-81.85664,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:17:52Z,273,P28A,-704,PIPER PA-28-140/150/160/180
0,SIL75,MCO,KMCO,,3M75,26ed7a8c,13,A4C846,24.55521,-81.76511,SIL,EYW,KEYW,SIL,N407SV,ADSB,5744,2021-02-26T15:17:52Z,270,AT46,0,Avions de Transport Regional ATR 42 600
0,,,,,,26ed7ad1,0,,24.55445,-81.75745,,,,,,ADSB,0,2021-02-26T15:17:51Z,180,E55P,0,
0,SIL75,MCO,KMCO,,3M75,26ed7a8c,11,A4C846,24.55521,-81.76558,SIL,EYW,KEYW,SIL,N407SV,ADSB,5744,2021-02-26T15:18:00Z,267,AT46,0,Avions de Transport Regional ATR 42 600
0,,,,,,26ed7ad1,0,,24.55445,-81.75745,,,,,,ADSB,0,2021-02-26T15:17:51Z,180,E55P,0,
0,N258KJ,,,,,26ed7b3a,0,A27620,24.5545,-81.75639,,EYW,KEYW,,N258KJ,ADSB,0,2021-02-26T15:18:00Z,103,SR22,0,2018 CIRRUS SR-22
0,SIL75,MCO,KMCO,,3M75,26ed7a8c,9,A4C846,24.5552,-81.76613,SIL,EYW,KEYW,SIL,N407SV,ADSB,5744,2021-02-26T15:18:11Z,270,AT46,0,Avions de Transport Regional ATR 42 600
0,N258KJ,,,,,26ed7b3a,0,A27620,24.55448,-81.75639,,EYW,KEYW,,N258KJ,ADSB,0,2021-02-26T15:18:09Z,271,SR22,0,2018 CIRRUS SR-22
0,,,,,,26ed7ad1,0,,24.55445,-81.75745,,,,,,ADSB,0,2021-02-26T15:17:51Z,180,E55P,0,
0,SIL75,MCO,KMCO,,3M75,26ed7a8c,4,A4C846,24.55527,-81.76645,SIL,EYW,KEYW,SIL,N407SV,ADSB,5744,2021-02-26T15:18:20Z,306,AT46,0,Avions de Transport Regional ATR 42 600
