$GPGSV,2,2,08,26,49,186,29,28,65,029,30,29,10,088,18,32,47,102,28*75
$GPGSV,2,1,08,04,07,300,,10,12,166,23,16,12,196,,25,24,046,21*7A
$GPGSV,2,2,08,26,49,186,28,28,65,029,30,29,10,088,18,32,47,102,28*74
$GPGSV,2,1,08,04,07,300,,10,12,166,23,16,12,196,,25,24,046,22*79
$GPGSV,2,2,08,26,49,186,27,28,65,029,29,29,10,088,17,32,47,102,28*7C
$GPGSV,2,1,08,04,07,300,,10,12,166,23,16,12,196,,25,24,046,21*7A
$GPGSV,2,2,08,26,49,186,27,28,65,029,28,29,10,088,16,32,47,102,27*73
$GPGSV,3,1,09,01,11,270,,04,07,300,,10,12,166,23,16,12,196,*7E
$GPGSV,3,2,09,25,24,046,21,26,49,186,27,28,65,029,28,29,10,088,15*74
$GPGSV,3,3,09,32,47,102,28*4B
$GPGSV,3,1,09,01,11,270,23,04,07,300,,10,12,166,24,16,12,196,*78
$GPGSV,3,2,09,25,24,046,22,26,49,186,29,28,65,029,30,29,10,088,15*70
$GPGSV,3,3,09,32,47,102,30*42
$GPGSV,3,1,09,01,11,270,23,04,07,300,,10,12,166,25,16,12,196,*79
$GPGSV,3,2,09,25,24,046,23,26,49,186,30,28,65,029,30,29,10,088,18*74
$GPGSV,3,3,09,32,47,102,31*43
$GPGSV,3,1,09,01,11,270,24,04,07,300,,10,12,166,26,16,12,196,*7D
$GPGSV,3,2,09,25,24,046,23,26,49,186,30,28,65,029,31,29,10,088,19*74
$GPGSV,3,3,09,32,47,102,31*43
$GPGSV,3,1,09,01,11,270,24,04,07,300,,10,12,166,26,16,12,196,*7D
$GPGSV,3,2,09,25,24,046,23,26,49,186,30,28,65,029,31,29,10,088,20*7E
$GPGSV,3,3,09,32,47,102,31*43
$GPGSV,3,1,09,01,11,270,23,04,07,300,,10,12,166,26,16,12,196,*7A
$GPGSV,3,2,09,25,23,046,23,26,49,186,30,28,65,029,31,29,10,088,19*73
$GPGSV,3,3,09,32,47,102,31*43
$GPGSV,3,1,09,01,11,270,23,04,07,300,,10,12,166,26,16,12,196,*7A
$GPGSV,3,2,09,25,23,046,22,26,49,186,30,28,65,029,31,29,10,088,20*78
$GPGSV,3,3,09,32,47,102,30*42
$GPGSV,3,1,09,01,11,270,23,04,07,300,,10,12,166,27,16,12,196,*7B
$GPGSV,3,2,09,25,23,046,22,26,49,186,29,28,65,029,30,29,10,088,20*71
$GPGSV,3,3,09,32,47,102,30*42
$GPGSV,3,1,09,01,11,270,23,04,07,300,,10,12,166,26,16,12,196,*7A
$GPGSV,3,2,09,25,23,046,22,26,49,186,29,28,65,029,30,29,10,088,21*70
$GPGSV,3,3,09,32,47,102,30*42
$GPGSV,3,1,09,01,11,270,23,04,07,300,,10,12,166,26,16,12,196,*7A
$GPGSV,3,2,09,25,23,046,22,26,49,186,29,28,65,029,29,29,10,088,20*79
$GPGSV,3,3,09,32,46,103,29*4A
$GPGSV,3,1,09,01,11,270,22,04,07,300,,10,12,166,26,16,12,196,*7B
$GPGSV,3,2,09,25,23,046,22,26,49,186,29,28,65,029,29,29,10,088,21*78
$GPGSV,3,3,09,32,46,103,29*4A
$GPGSV,3,1,09,01,11,270,23,04,07,300,,10,12,166,25,16,12,196,*79
$GPGSV,3,2,09,25,23,046,23,26,49,186,29,28,65,029,29,29,10,088,20*78
$GPGSV,3,3,09,32,46,103,29*4A
$GPGSV,3,1,09,01,11,270,22,04,07,300,,10,12,166,24,16,12,196,*79
$GPGSV,3,2,09,25,23,046,22,26,49,186,28,28,65,029,28,29,10,088,20*79
$GPGSV,3,3,09,32,46,103,28*4B
$GPGSV,3,1,09,01,11,270,21,04,07,300,,10,12,166,22,16,12,196,*7C
$GPGSV,3,2,09,25,23,046,21,26,49,186,28,28,65,029,28,29,10,088,19*70
$GPGSV,3,3,09,32,46,103,27*44
$GPGSV,3,1,09,01,11,270,19,04,07,300,,10,12,166,22,16,12,196,*77
